,star_score,reple,date
152,1,이게 재밌어?? 양심적으로 이게 재밌어?? 나만 화나는거야?? 평론가들 양심에 손을 얹고 이게 7점짜리 영화야??? 내가 본 영화 중 쓰레기영화 탑 3안에 든다..이건 7광구 급인데??,2016-07-20 14:17:00
153,1,"아 진짜 재미없네요. 억지성 연출, 연기...보다 코믹인 줄 알았어요. 공유가 딸 태어났을 때 연출 말고는 전부 볼 게 없습니다. 다시는 보고싶지 않네요. 짜증만 남아요.",2016-07-20 11:09:00
154,1,이걸 돈주고 봤다니...,2016-07-21 23:15:00
155,1,8점대영화는아닌듯 그리고소희연기는 좀아니였음,2016-07-20 14:40:00
156,1,우웩~~~  진짜 그닥이다,2016-07-20 10:25:00
157,1,별 하나도 아까운 b급 좀비 영화. 스토리 없음 그냥 좀비피해 도망다니다가 다 죽고 끝남,2016-07-20 22:22:00
158,5,보는내내  긴장하고  시간금방가고 좀비물매니아라  기대치에  영딸리지만  한국판좀비물이라 점수줌 별점 깎은건  배우연기들  특히  안소희 연기 오케이  한거에  어이가  없다,2016-07-20 09:30:00
159,4,기대이하네 ㅠㅠ  진심임,2016-07-20 07:04:00
160,1,끝나고 관객들이 웃었다  어이없는영화라서,2016-07-20 22:28:00
161,1,할거없어도 보지말도록하자 믿어라,2016-07-22 08:14:00
162,10,그 아저씨 진짜 완전 아 짜증난다,2016-07-22 08:15:00
163,3,부(산행) 산으로 가는 영화,2016-07-20 08:55:00
164,1,징수3과 백성일 과장때문에 보러갑니다. 공유는 커피이후 나락으로,2016-07-20 01:42:00
165,1,솔직히 마지막 공유 분유cf는 할말이 없다..,2016-07-23 07:18:00
166,1,"억지 끼워맞추기식 감성팔이영화. 여자친구는 재밌게 봣다지만, 평소에 좀비물 조금이라도 봣던사람이면 진짜 재미없을듯.. 너무 비교되서. 이렇게 평이 좋을 수가 없는영화임. 알바쓴거같아..",2016-07-20 16:10:00
167,5,내용이 없을거면 재미라도 있던지. 보는 즐거움이라도 주던지. 슬퍼서 눈물이 나는 게 아니라 아쉬움에 눈물이 난다.ㅠㅠ,2016-07-20 10:03:00
168,1,국제영화제에 이게 나갔다고요 ? 오바연기에.. 스토리는 그냥 나 좀비영화해보고싶어에..억지로 끼어맞춘 인간의 양면성.. 너무 부자연스러웠네요,2016-07-20 13:31:00
169,1,나만이상한건가 이게도대체 재및다는사람은뭔지 알바에존재를알게해준영화네 평점5점이적당,2016-07-21 10:08:00
170,1,연출 연기 총체적으로 쓰레기였고 신파 아니면 영화 못 마무리 지을거면 감독질은 때려치는게 좋을듯,2016-07-21 09:08:00
171,1,좋은 배우 좋은 소재 좋은 연출력인데스토리가 전형적인 한국영화의 뻔함과 답답함에 중점을 둔건지캐릭터 스토리가 몽땅 사막에서 밤고구마 먹는 느낌악역한분빼고 주연분들 다 살고싶긴한건지 의문임,2016-07-20 12:33:00
172,1,"방금 보고 나온 평-인간의 이기심을 보여주려 했으나 방식이 서툴고 어색함. 안소희 좀비연기10점, 사람 연기0점. 어설픈CG. 스토리 빈약. 사람들이 어떻게 좀비가 되었는지에 대한 설명은 쿨하게 생략. 영화 중간에 &#39;아 언더워터 볼껄..&#39;하고후회함. ",2016-07-20 14:57:00
173,1,핵노잼×1000 노잼,2016-07-20 16:02:00
174,1,최악의 똥을 삼킨 기분더럽다,2016-07-25 13:44:00
175,3,연상호 감독님의 애니를보고 많이 기대했습니다. 실망수준이 아닙니다. 그냥 치고받는 좀비액션영화,2016-07-20 12:23:00
176,1,국산 좀비는 아직인것 같다,2016-07-20 21:06:00
177,7,너무기대했나봄 생각보단그저그랬음,2016-07-20 03:07:00
